,Unnamed: 0,Artists,Name,Year,Genre,acousticness,danceability,energy,key,tempo,valence,cluster
113,113,Katy Perry,Firework,2010,"Adult Contemporary,Dance-Pop,Rock,Pop",14.21,60.14,81.91,72.73,46.47,65.12,4
114,114,Destiny's Child,"Bills, Bills, Bills",1999,"R&;B,Rap",14.21,83.85,55.31,100.0,48.68,45.18,2
115,115,Alicia Keys,No One,2007,"Soul,Soul Pop,Pop,R&;B",2.14,60.82,52.34,9.09,25.49,13.9,1
116,116,Katy Perry,California Gurls,2010,"Dance-Pop,Funk-Pop,Disco,Pop",0.39,77.32,74.15,0.0,47.05,39.03,1
117,117,Adele,Hello,2015,"Adult Alternative,Adult Contemporary,Ballad,Piano,Soul,Memes,UK,Pop",34.36,42.15,42.02,45.45,67.38,26.94,3
118,118,Katy Perry,Dark Horse,2014,"Trap,Rap,Producer,Pop",0.32,60.94,56.27,54.55,51.32,33.73,0
119,119,Adele,Set Fire To The Rain,2012,"Ballad,Rock,Soul,UK,Pop",0.39,56.93,66.7,18.18,36.56,45.71,1
120,120,Katy Perry,Part Of Me,2012,"Power Pop,Dance-Pop,Pop",0.04,64.72,91.7,45.45,50.15,77.84,4
121,121,50 Cent,21 Questions,2003,Rap,36.09,53.04,79.89,54.55,25.47,92.58,4
122,122,Akon,Don't Matter,2007,R&;B,23.62,78.12,42.55,18.18,47.21,36.06,3
123,123,P!nk,Raise Your Glass,2010,"Pop-Rock,Pop,Rock",0.49,67.24,69.46,63.64,45.21,62.57,4
124,124,Fergie,Glamorous,2007,"Hip-Hop,R&;B,Pop,Rap",29.45,79.84,74.36,0.0,50.74,62.36,1
125,125,Justin Bieber,What Do You Mean?,2015,"Canada,Tropical House,Electro-Pop,Electronic,Pop",60.33,83.85,54.36,45.45,47.06,80.38,4
126,126,Kelly Clarkson,My Life Would Suck Without You,2009,"Pop-Rock,Pop",0.14,47.31,87.87,81.82,59.37,41.26,0
127,127,Timbaland,Give It To Me,2007,"Beef,Portugal,Canada,West Coast,Dance-Pop,Dance,R&;B,Electro-Pop,Electro,Pop,Rap",17.18,98.74,69.68,72.73,38.18,82.72,4
128,128,Vertical Horizon,Everything You Want,2000,"Alternative Rock,Pop,Rock",5.15,60.02,74.78,27.27,27.86,74.87,1
129,129,"Cardi B, Bad Bunny, J Balvin",I Like It,2018,"Trap,Latin Music,En Espa\xc3\xb1ol,Latin Trap,Rap",10.12,80.53,71.27,45.45,53.86,65.22,4
130,130,matchbox twenty,Bent,2000,"Adult Alternative,Pop-Rock,Alternative Rock,Rock",4.13,46.39,82.34,54.55,28.83,52.18,4
131,131,Usher,U Got It Bad,2002,"Neo Soul,Soul Pop,Soul,R&;B",2.32,80.53,47.23,9.09,46.45,65.12,1
132,132,Avril Lavigne,Girlfriend,2007,"Pop-Rock,Pop-Punk,Canada,Pop",0.08,51.2,96.06,63.64,71.09,67.34,0
133,133,XXXTENTACION,Sad!,2018,"Hip-Hop,Trap,Emo Rap,Rap,Alternative,Cloud Rap",26.38,71.82,59.25,72.73,16.22,46.45,2
134,134,Snoop Dogg,Drop It Like It's Hot,2004,"West Coast,Memes,Producer,Rap",19.43,88.77,61.27,9.09,26.68,66.49,1
135,135,Owl City,Fireflies,2009,"Synth-Pop,Electronic,Memes,Pop",2.81,45.7,64.46,27.27,81.04,46.35,1
136,136,Sisqo,Incomplete,2000,R&;B,28.83,72.51,41.16,9.09,43.54,25.14,3
137,137,Kanye West,Stronger,2007,"Hip-Hop,France,Pop,Electro-Hop,Electronic,House,Producer,Rap",0.58,57.73,70.32,90.91,34.09,48.26,2
138,138,Adele,Someone Like You,2011,"Easy Listening,Soul Pop,Adult Alternative,Adult Contemporary,Ballad,Piano,Pop,Soul",91.21,51.09,29.14,81.82,53.28,26.52,2
139,139,Justin Bieber,Sorry,2016,"Canada,Tropical House,Electro-Pop,Electronic,Pop",8.15,61.97,74.89,0.0,31.59,39.77,1
140,140,Sean Kingston,Beautiful Girls,2007,Rap,15.34,74.34,64.36,9.09,50.14,77.84,1
141,141,Halsey,Without Me,2019,"Synth-Pop,R&;B,Alternative Pop,Ballad,Pop,Alternative",30.37,73.2,45.95,54.55,53.86,52.82,2
142,142,"B2K, P. Diddy","Bump, Bump, Bump",2003,"Boy Band,Hip-Hop,Pop,R&;B,Rap",10.2,82.59,66.91,9.09,28.86,89.29,1
143,143,Christina Aguilera,What A Girl Wants,2000,"R&;B,Pop",6.99,73.42,81.17,0.0,57.62,83.03,1
144,144,Plain White T's,Hey There Delilah,2007,"Emo,Acoustic,Ballad,Rock",89.16,62.2,24.99,18.18,34.08,27.9,3
145,145,Zayn,Pillowtalk,2016,"Alternative R&;B,R&;B,UK,Pop",11.96,53.95,68.51,100.0,47.01,42.74,2
146,146,The Weeknd,Starboy,2017,"Alternative R&;B,Canada,R&;B,Electro-Pop,Pop",14.42,64.83,56.48,63.64,84.67,47.83,0
147,147,Britney Spears,Womanizer,2008,"Dance-Pop,Electro-Pop,Pop",7.46,69.99,67.98,100.0,55.68,21.22,2
148,148,Gotye,Somebody That I Used To Know,2012,"Producer,Art Pop,Singer-Songwriter,Adult Alternative,Alternative Pop,Adult Contemporary,Ballad,Indie Pop,Pop",60.43,86.03,46.7,0.0,49.55,72.64,3
149,149,Eminem,The Monster,2013,"Hip-Hop,Pop,Rap",5.37,76.52,84.79,9.09,37.83,62.46,1
150,150,Madonna,Music,2000,"House,Electronic,Dance,Pop",0.15,71.36,79.36,63.64,43.87,88.65,4
151,151,Ludacris,Stand Up,2003,Rap,37.53,73.08,83.4,54.55,31.05,81.23,4
152,152,John Legend,All Of Me,2014,"Piano,Easy Listening,Adult Contemporary,Soul Pop,Soul,Ballad,Pop,R&;B",94.27,35.4,22.12,72.73,43.92,31.4,3
153,153,Carly Rae Jepsen,Call Me Maybe,2012,"Dance-Pop,Teen Pop,Canada,Memes,Pop",1.17,76.75,55.74,63.64,43.98,66.28,4
154,154,Kelly Clarkson,A Moment Like This,2002,"American Idol,Ballad,Pop",16.67,34.48,54.89,72.73,59.5,13.26,0
155,155,Creed,With Arms Wide Open,2000,Rock,0.43,34.02,51.38,0.0,55.59,11.25,1
156,156,Akon,I Wanna Love You,2006,"R&;B,Rap",3.81,86.25,42.33,0.0,31.62,35.32,1
157,157,Desiigner,Panda,2016,"UK,Hardcore Hip-Hop,Hip-Hop,Producer,East Coast,Trap,Memes,Rap",2.18,55.9,67.98,90.91,32.59,28.75,2
158,158,Rihanna,Take A Bow,2008,"Soul Pop,Neo Soul,R&;B,Pop",25.36,66.9,43.72,81.82,20.58,56.95,2
159,159,Taylor Swift,Bad Blood,2015,"Electro-Hop,Electro-Pop,Rap,Pop",8.91,61.74,79.36,63.64,74.9,27.58,0
160,160,Eminem,Not Afraid,2010,"Soundtrack,Pop,Rap",54.09,84.99,95.53,0.0,40.65,67.13,1
161,161,Childish Gambino,This Is America,2018,"Protest Songs,Hip-Hop,Memes,Gospel,Trap,Rap",11.96,84.88,43.29,45.45,43.98,54.51,4
162,162,Nelly Furtado,Say It Right,2007,R&;B,4.18,86.83,86.49,9.09,42.08,84.73,1
163,163,Ludacris,Money Maker,2006,Rap,15.34,50.17,57.66,9.09,18.53,61.19,1
164,164,Mims,This Is Why I'm Hot,2007,"Crunk,Rap",28.32,58.19,57.87,72.73,19.31,47.73,2
165,165,Britney Spears,3,2009,"Electronic,Dance,Electro-Pop,Pop",4.62,66.9,69.46,45.45,53.16,79.75,4
166,166,"Eminem, Dr. Dre, 50 Cent",Crack A Bottle,2009,Rap,8.83,46.16,87.02,81.82,74.53,37.76,0
167,167,P!nk,So What,2008,"Power Pop,Alternative Rock,Pop-Rock,Pop,Rock",0.03,48.22,86.59,100.0,47.68,45.29,0
168,168,Ariana Grande,Problem,2014,"Australia,Screen,Producer,Dance-Pop,R&;B,Rap,Pop",1.96,62.66,79.68,9.09,33.48,62.57,1
169,169,Linkin Park,In The End,2002,"Alternative Metal,Alternative Rock,Metal,Hard Rock,Rap Rock,Nu-Metal,Rap,Rock",0.98,50.74,85.96,27.27,34.8,38.71,1
170,170,Sam Smith,Stay With Me,2014,"Piano,Adult Alternative,Adult Contemporary,Soul Pop,Blue-Eyed Soul,Ballad,Soul,UK,Pop",60.12,34.94,38.72,0.0,21.82,15.81,3
171,171,Ed Sheeran,Thinking Out Loud,2015,"Soul,UK,Pop",48.47,76.52,41.38,18.18,18.68,58.97,3
172,172,Eve,Gangsta Lovin',2002,Rap,6.33,69.87,83.4,9.09,28.13,83.99,1
173,173,Lukas Graham,7 Years,2016,"Pop-Rock,Adult Alternative,Adult Contemporary,Piano,Memes,Scandinavia,Danmark,Pop",29.35,74.68,44.36,90.91,43.96,32.35,2
174,174,Chingy,Right Thurr,2003,Rap,15.34,86.25,73.72,18.18,26.74,90.78,1
175,175,Drake,Best I Ever Had,2009,"Motown,R&;B,Pop,Canada,Rap",10.43,37.57,90.21,9.09,69.71,52.39,1
176,176,Lil' Kim,Magic Stick,2003,Rap,11.96,84.31,47.12,18.18,27.3,49.74,1
177,177,Brian McKnight,Back At One,1999,R&;B,46.22,62.77,30.84,100.0,49.98,23.44,2
178,178,Taio Cruz,Dynamite,2010,"Electro-Pop,Pop",0.47,73.54,78.3,36.36,43.95,88.34,4
179,179,Fetty Wap,Trap Queen,2015,"Hip-Hop,Memes,R&;B,Rap,Trap",2.49,72.51,86.91,63.64,61.28,82.93,4
180,180,"Marshmello, Bastille",Happier,2019,"Adult Alternative,Producer,Alternative Dance,Alternative Pop,Alternative Rock,Adult Contemporary,Electro-Pop,Future Bass,Electronic,Dance,Pop",19.53,65.75,78.3,45.45,31.64,67.45,4
181,181,Drake,Hotline Bling,2015,"Hip-Hop,Rap,Producer,Pop,R&;B,Memes,Canada",0.27,89.12,60.53,18.18,53.19,54.41,1
182,182,R. Kelly,Ignition,2003,"Soul,Soul Pop,Pop,R&;B",34.56,78.92,28.61,90.91,10.96,73.7,2
183,183,Christina Aguilera,Beautiful,2003,Pop,59.1,39.29,55.0,45.45,16.94,6.82,3
184,184,Ja Rule,Mesmerize,2003,"R&;B,Pop,Rap",5.19,75.14,63.83,9.09,25.48,37.76,1
185,185,twenty one pilots,Stressed Out,2016,"Pop-Rock,Piano,Rap Rock,Adult Alternative,Alternative Pop,Alternative,Alternative Rock,Rap,Pop",4.72,71.13,61.8,36.36,74.79,65.01,1
186,186,Hoobastank,The Reason,2004,"Alternative Rock,Soundtrack,Pop,Pop-Rock,Rock",1.31,40.55,62.55,36.36,21.09,3.23,3
187,187,twenty one pilots,Heathens,2016,"Electronic Rock,Alternative Rock,Indie Rap,Rap,Pop,Electro-Pop,Soundtrack,Screen",9.28,71.48,44.67,36.36,25.48,55.15,1
188,188,Hozier,Take Me To Church,2014,"Blues,Gospel,Piano,Ireland,Singer-Songwriter,Indie,Folk Rock,Blues Rock,Alternative,Rock,Adult Alternative,Indie Rock,Adult Contemporary,Alternative Rock,Soul,LGBTQ+",60.33,52.58,64.36,36.36,49.57,37.23,3
189,189,Eminem,Without Me,2002,"Satire,Rap",0.32,92.9,62.87,63.64,39.18,68.19,4
190,190,Nicki Minaj,Anaconda,2014,"Memes,Rap,Pop,Producer",6.83,97.48,58.4,81.82,50.13,64.8,4
191,191,Chris Brown,Forever,2008,"DMV,Eurodance,Dance-Pop,Pop",3.76,64.03,81.27,100.0,43.97,42.74,2
192,192,David Archuleta,Crush,2008,Pop,0.85,52.35,64.68,0.0,69.92,47.94,1
193,193,Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",2019,"Trap,Trip-Hop,Lo-Fi,R&;B,Pop",4.3,70.22,52.97,45.45,74.8,31.82,0
194,194,Maroon 5,Sugar,2015,"Adult Alternative,Adult Contemporary,Pop-Rock,Rock,Pop",6.04,72.74,77.87,9.09,44.01,90.03,1
195,195,Avril Lavigne,Complicated,2002,"Canada,Pop,Rock,Pop-Rock",5.85,54.07,76.59,45.45,18.05,41.58,1
