,Artists,Name,Year,Weekly.rank,Week,Max.Weeks.on.chart,Genre,acousticness,danceability,energy,key,tempo,valence,cluster
3864,Kehlani,Distraction,2016,85,2016-12-17,0,R&;B,0.02719605633420316,0.6265750286368843,0.6829449941483136,0.4545454545454546,0.445549806030628,0.3828862262750504,0
3865,Bryce Vine,La La Land,2019,85,2019-07-06,4,"Pop,Rap,Hip-Hop,R&;B",0.2954993512868047,0.702176403207331,0.4850516012341739,1.0,0.3037332165610988,0.5143675113985793,2
3866,The Cheetah Girls,The Party's Just Begun,2006,85,2006-09-13,2,"R&;B,Dance-Pop,Disney,Soundtrack,Pop",0.1042923537405528,0.7308132875143183,0.8393446111288434,0.09090909090909091,0.3409235285773318,0.9459230198282262,1
3867,Tyga,Hookah,2014,85,2014-09-05,11,Rap,0.7515331529211807,0.6471935853379152,0.4552611979997871,0.09090909090909091,0.8716101616514225,0.1952072950906585,3
3868,Bruno Mars,Marry You,2011,85,2011-01-13,9,Pop,0.3394667357493118,0.5807560137457044,0.8255133524843069,0.9090909090909092,0.5933674193130587,0.4730145265613403,0
3869,Ying Yang Twins,Dangerous,2006,85,2006-12-13,0,Rap,0.1727996737170174,0.7869415807560137,0.7733801468241301,1.0,0.4087665521558663,0.9056303679355318,4
3870,Eric Church,How 'Bout You,2006,85,2006-08-02,4,"Country,Rock",0.01165409717536344,0.4994272623138601,0.8691350143632302,0.3636363636363636,0.4400298509303744,0.7677870851447355,1
3871,Kirk Franklin,I Smile,2011,85,2011-06-02,18,"Gospel,Religion,Christian,R&;B,Pop",0.2280145286234217,0.7239404352806414,0.7414618576444303,0.09090909090909091,0.5880078204503545,0.5875304845721556,1
3872,Enrique Iglesias,El Perdedor,2014,85,2014-02-07,0,"Latin Music,Spanish Music,Pop",0.7198357362156524,0.4284077892325314,0.4488775401638472,0.7272727272727273,0.5494113075817662,0.268370268264235,2
3873,Matisyahu,One Day,2010,85,2010-04-08,6,"Ballad,Rock,Adult Alternative,Pop-Rock,Pop,Reggae",0.4079740557257764,0.5693012600229095,0.640387275242047,0.0,0.146738292452772,0.2270172834269961,3
3874,John Mayer,Wildfire,2013,85,2013-09-06,3,"Folk,Country,Rock",0.1533722247684678,0.6941580756013747,0.6478348760506437,0.7272727272727273,0.2977753655813838,0.7720284169229139,4
3875,New Found Glory,My Friends Over You,2002,85,2002-09-24,6,Rock,0.000194969787658392,0.3333333333333334,0.9829769124374934,0.1818181818181818,0.7960762062181215,0.4221185452232001,1
